family,name,mass_kgpm,h_mm,b_mm,tw_mm,tf_mm,r1_mm,r2_mm,d_mm,cw_tw_table,cf_tf_table,e0_cm,A_cm2,Iy_cm4,Wely_cm3,Wply_cm3,Avz_cm2,Iz_cm4,Welz_cm3,Wplz_cm3,source
IPE,IPE 80,6,80,46,3.8,5.2,5,,59.6,15.6842,3.09615,,7.64,80.1,20,23.2,3.58,8.49,3.69,5.8,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 100,8.1,100,55,4.1,5.7,7,,74.6,18.1951,3.23684,,10.3,171,34.2,39.4,5.08,15.9,5.79,9.2,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 120,10.4,120,64,4.4,6.3,7,,93.4,21.2273,3.61905,,13.2,318,53,60.7,6.31,27.7,8.65,13.6,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 140,12.9,140,73,4.7,6.9,7,,112.2,23.8723,3.93478,,16.4,541,77.3,88.3,7.64,44.9,12.3,19.3,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 160,15.8,160,82,5.0,7.4,9,,127.2,25.44,3.98649,,20.1,869,109,124,9.66,68.3,16.7,26.1,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 180,18.8,180,91,5.3,8.0,9,,146,27.5472,4.23125,,23.9,1317,146,166,11.3,101,22.2,34.6,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 200,22.4,200,100,5.6,8.5,12,,159,28.3929,4.14118,,28.5,1943,194,221,14.0,142,28.5,44.6,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 220,26.2,220,110,5.9,9.2,12,,177.6,30.1017,4.35326,,33.4,2772,252,285,15.9,205,37.3,58.1,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 240,30.7,240,120,6.2,9.8,15,,190.4,30.7097,4.27551,,39.1,3892,324,367,19.1,284,47.3,73.9,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 270,36.1,270,135,6.6,10.2,15,,219.6,33.2727,4.82353,,45.9,5790,429,484,22.1,420,62.2,97,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 300,42.2,300,150,7.1,10.7,15,,248.6,35.0141,5.2757,,53.8,8356,557,628,25.7,604,80.5,125,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 330,49.1,330,160,7.5,11.5,18,,271,36.1333,5.06522,,62.6,11770,713,804,30.8,788,98.5,154,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 360,57.1,360,170,8.0,12.7,18,,298.6,37.325,4.96063,,72.7,16270,904,1019,35.1,1043,123,191,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 400,66.3,400,180,8.6,13.5,21,,331,38.4884,4.79259,,84.5,23130,1160,1307,42.7,1318,146,229,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 450,77.6,450,190,9.4,14.6,21,,378.8,40.2979,4.74658,,98.8,33740,1500,1702,50.9,1676,176,276,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 500,90.7,500,200,10.2,16.0,21,,426,41.7647,4.61875,,116,48200,1930,2194,59.9,2142,214,336,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
IPE,IPE 550,106,550,210,11.1,17.2,24,,467.6,42.1261,4.38663,,134,67120,2440,2787,72.3,2668,254,401,ArcelorMittal Orange Book / EN 10365 geometry and section-property tables
